CODIGO;MUNICIPIO;PIB;VALOREMPENHO
149;TRIUNFO;223848.22;1442759.82
162;AJURICABA;20784.67;180603.16
243;TAVARES;13614.74;134810
459;SETE DE SETEMBRO;14167.01;135513.71
30;CERRO LARGO;24621.74;194534.47
463;UBIRETAMA;17624.98;147190
263;CRISTAL;13480.21;123228.69
204;MATA;10935.82;107740.9
141;DOUTOR MAURICIO CARDOSO;18628.78;147767.38
141;TAQUARA;18628.78;147767.38
1;AGUDO;16444.8;134912
487;PEDRAS ALTAS;23555.6;172711.88
418;TIRADENTES DO SUL;11460.58;107111
436;CHUI;27211.85;191953.5
170;BARAO DO COTEGIPE;18002.39;141194.95
53;SAO VICENTE DO SUL;14478.75;119382.93
351;CORONEL BARROS;19040.37;141024
414;SENTINELA DO SUL;10477.52;92380.2
220;ROQUE GONZALES;14153.96;109582.13
75;MARAU;34568.53;193840.83
99;RESTINGA SECA;13662.14;98001.49
179;CAIBATE;16351.42;108141.69
264;DEZESSEIS DE NOVEMBRO;12031.78;88756.96
182;CAMPINA DAS MISSOES;13265.54;93439.28
316;SEDE NOVA;16573.84;107428.88
496;TIO HUGO;20308.6;123207.6
393;PORTO MAUA;14274.99;92807.2
318;SILVEIRA MARTINS;11760.63;81437.95
226;SAO NICOLAU;12118.17;82690.45
473;BOZANO;17385.64;102757.09
315;SAO MIGUEL DAS MISSOES;27604.1;143096.57
225;SAO MARTINHO;16194.66;97248.7
482;JACUIZINHO;13023.32;83870.17
378;MULITERNO;16581.6;97594.98
378;SANTO ANTONIO DAS MISSOES;16581.6;97594.98
455;NOVA RAMADA;20065.46;109138.18
484;MATO QUEIMADO;16741.72;96221.32
334;ALTO FELIZ;13209.54;82293.86
442;ESPERANCA DO SUL;13475.82;81440.55
216;REDENTORA;8236.63;60134
413;SAO VALERIO DO SUL;10503.72;67638.25
163;ALECRIM;11431.18;70277.71
356;GARRUCHOS;68672.25;271841.26
240;PALMARES DO SUL;19129.95;96770.63
458;SENADOR SALGADO FILHO;18747.25;94051
378;MULITERNO;19914.82;97594.98
378;SANTO ANTONIO DAS MISSOES;19914.82;97594.98
296;PANTANO GRANDE;17773.33;86674.03
191;DONA FRANCISCA;12755.5;67342.2
285;ITACURUBI;17165.76;78243.36
194;FORMIGUEIRO;14434.15;68801.4
479;CRUZALTENSE;15521;69924.8
169;AUGUSTO PESTANA;21093.68;85677.83
152;TUPARENDI;17472.05;74968
346;CARLOS GOMES;14074.6;64068.77
300;PIRAPO;12907.72;59196.14
423;VALE DO SOL;15438.03;65811.24
273;EUGENIO DE CASTRO;30468.92;105023.36
228;SELBACH;23079.27;84228.16
439;DILERMANDO DE AGUIAR;19759.2;74348.22
227;SAO PAULO DAS MISSOES;13658.06;58025.36
7;ARVOREZINHA;12322.75;53848.5
454;NOVA CANDELARIA;24036.64;83084.13
238;FORTALEZA DOS VALOS;24850.71;83076.65
137;SOLEDADE;12628.91;52500.44
83;NOVA PALMA;22751.3;76304.4
97;PORTO LUCENA;11721.19;49142.95
174;BOSSOROCA;20475.92;70249.33
394;PORTO VERA CRUZ;16254;58321.5
196;IBIRAIARAS;20324.25;66818.26
352;COXILHA;29446.8;87241.91
28;CATUIPE;16817.21;57760.46
405;SAO JOAO DO POLESINE;14616.58;52533.91
232;VICTOR GRAEFF;26700.28;79029.29
407;SAO JOSE DO INHACORA;17858.77;57786.95
363;LAGOA DOS TRES CANTOS;26887.69;77449.57
380;NOVA BOA VISTA;18676.57;58868.19
380;SANTO ANTONIO DO PLANALTO;18676.57;58868.19
9;BARRA DO RIBEIRO;13536.8;46719.3
375;MORMACO;19118.72;58222.04
197;ILOPOLIS;14891.22;48284
201;JACUTINGA;19989.87;58058.46
146;TRES COROAS;22845.82;62296.44
46;FAXINAL DO SOTURNO;18772.7;53632.55
183;CANDIDO GODOI;17321.8;50037.9
265;DOIS LAJEADOS;21239.7;56596.27
16;ESMERALDA;26582.62;64937.14
155;VENANCIO AIRES;27673.59;66953.86
321;TRES ARROIOS;14817.08;42735.5
158;VIADUTOS;12520.25;38128.96
270;EREBANGO;15497.3;43389.46
274;FAGUNDES VARELA;26973.38;63579.04
380;NOVA BOA VISTA;24509.74;58868.19
380;SANTO ANTONIO DO PLANALTO;24509.74;58868.19
486;PAULO BENTO;20777.63;52189.75
283;IPE;19635.49;49490.3
276;GLORINHA;33730.13;74325.48
453;MUITOS CAPOES;72353.72;140597.55
491;ROLADOR;17853.36;44955.88
311;SAO JOAO DA URTIGA;13896.88;37257.18
422;UNIAO DA SERRA;25746.93;56890.56
211;PEJUCARA;29005.14;59830.97
181;CAMBARA DO SUL;17604.06;39963.33
150;TUCUNDUVA;21897.55;46340
272;ESTACAO;19809.37;41816.89
490;QUATRO IRMAOS;22971.63;45604.38
476;CAPAO DO CIPO;36739.78;60851
139;TAPERA;25222.94;43510
251;AUREA;14243.78;28735.1
387;PASSO DO SOBRADO;16001.36;29898.17
421;TUPANCI DO SUL;17206.19;30868.49
295;NOVA ROMA DO SUL;29148.6;43757.7
313;SAO JOSE DO HERVAL;12934.88;24583
51;GAURAMA;19545.1;31718.48
305;QUINZE DE NOVEMBRO;21072.81;31602.74
445;FLORIANO PEIXOTO;15990.69;25715.5
290;MONTAURI;25168.07;34664.79
77;MAXIMILIANO DE ALMEIDA;12775.29;19376.34
384;NOVO MACHADO;15579.4;21715
469;ALMIRANTE TAMANDARE DO SUL;26895.37;31936.85
329;VILA MARIA;31104.22;28149.89
52;GENERAL CAMARA;11628.97;13824.15
284;IPIRANGA DO SUL;25276.04;22470.03
186;CONDOR;25915.7;22632.98
109;SANTA MARIA;15719.56;9538.34
151;TUPANCIRETA;23275.79;12475.2
96;PORTO ALEGRE;30524.8;9358.33
108;SANTA CRUZ DO SUL;40671.53;9637
65;IJUI;23027.95;5920
129;SAO SEPE;15525.66;1186
372;MATO LEITAO;17213.98;760
372;SANTA VITORIA DO PALMAR;17213.98;760
372;MATO LEITAO;27170.89;760
372;SANTA VITORIA DO PALMAR;27170.89;760
107;SANTA BARBARA DO SUL;29654.02;365
54;GETULIO VARGAS;16876.33;233.01
382;NOVA SANTA RITA;25938.38;310.58
60;GUARANI DAS MISSOES;24363.31;172.13
